"tempo","temperatura","umidade","ventoso","class"
'ensolarado','quente','alta','falso','não'
'ensolarado','quente','alta','verdadeiro','não'
'nublado','quente','alta','falso','sim'
'chuvoso','amena','alta','falso','sim'
'chuvoso','fria','normal','falso','sim'
'chuvoso','fria','normal','verdadeiro','não'
'nublado','fria','normal','verdadeiro','sim'
'ensolarado','amena','alta','falso','não'
'ensolarado','fria','normal','falso','sim'
'chuvoso','amena','normal','falso','sim'
'ensolarado','amena','normal','verdadeiro','sim'
'nublado','amena','alta','verdadeiro','sim'
'nublado','quente','normal','falso','sim'
'chuvoso','amena','alta','verdadeiro','não'
